fecha_cierre,NIT,Fecha_vencimiento,Dias_mora,Calificación,Saldo,Porcentaje_deterioro,Deterioro,FID,nombre_linea
31/01/2023,6997cbe0a7fdd6a1497236d83b34e4aab741d55455ac39e6fe3bd78a450d0dbc,15/09/2022,0,A,419823.14,0.0022,923.6109080000001,edb104aeed3f4f8949c1b625c89ee266c3e942f3b8a7b0c7e39dabb872a67b8b,Fondos de inversión colectiva
31/01/2023,addc3fc19a15a6a99eca69732861f451bd34d15158f1403b96a7a4a146609f45,15/09/2022,0,A,31744.07,0.0022,69.836954,6816bf1b24c198cad6df74dfa40af29674e9bcc7f0d065f314d2f0c13f132d7f,Inversión
31/01/2023,95a7c4ee11932b5afdf4e9d8b810ce7d521a92021abfe1ddce8b30d04ba5ebfb,15/09/2022,0,A,2070600.0,0.0022,4555.320000000001,8549f6b38f5a17ac29f7eeec00efbbab44f7c5906530749d007cd795f1224ff1,Garantía
31/01/2023,12050447651bdaa01f8fae608375ba0223322019d655bb2d3c0775ecf47bffba,15/09/2022,0,A,2760800.0,0.0022,6073.76,4cdde3302bda98e7322239869aa71be2a265feb65340b3ca739309c6d0c330ba,Garantía
31/01/2023,76a2fce103a19210468ab1af2b69a6eb3d3bfc10439724c5b50341f774d3b365,15/09/2022,0,A,714000.0,0.0022,1570.8000000000002,c1b1e4f042d18f9cd5b740d2970091b7de1c71f2406a32d5ac8b78956a7bd6df,Inmobiliario
31/01/2023,ed197dd80eef77fb791699b278acba5ab2287df806bf6d26d58d220eef29d26a,15/09/2022,0,A,2760800.0,0.0022,6073.76,086d6fb846497c105c43677966408965a7ae44badd02cf867b016791f2d2e346,Administración
31/01/2023,90e9394d6d5cfc18ab2817c0a8124eed4437573a8f95e5c4f4d796f5eaade66a,15/09/2022,0,A,1380400.0,0.0022,3036.88,ef49f53e9576af41962abf68157387a00b12b08b426ce44129e61faff4e7ad3b,Inversión
31/01/2023,83925a80b66b441442289a26b4acf1ecaf7fc2cba88273c399152f982b090a3d,15/09/2022,0,A,1794520.0,0.0022,3947.9440000000004,ed174d0427e5ca1b8b85ed56f804b5e0e8cbcb773068a1dcf015e3cc8b3a84f3,Inmobiliario
31/01/2023,8f854bee1b41850058394627fc0b07a78a6c61378d7829e940fec35a2342f9b4,15/09/2022,0,A,4704750.9,0.0022,10350.451980000002,c1bb88ac748e5245e4d12596996e6945b66128860b37161f5bd1d6d57dfab256,Administración
31/01/2023,7c1c2e85118d21cc3e40e258f965a435161fcfdc2672b90dcd1dc1c157982187,15/09/2022,0,A,2760800.0,0.0022,6073.76,abb846411077d5ad4f9737e0b87458f6f530cf8141e4126188857eca6d5a0006,Administración
31/01/2023,2abceab8fd9068a844ba4201990bcc64c098e4f49bc79ec19050e407e9c8d43c,15/09/2022,0,A,77362.0,0.0022,170.1964,0483ed327b137a3e9b1865ecb27f1da319113d6edc455c6aac580e012caaa14c,Inmobiliario
31/01/2023,dac38fac8bc285f8c572da0238b22c6b43a34bcac9a79e6d4243cb57a9da9304,15/09/2022,0,A,2760800.0,0.0022,6073.76,752dd73fc043ca09b3fd94ae4e1e2ad395a19788aa16bb6a7ceba7ae968cfaa6,Administración
31/01/2023,9503c62908b75b6e2771c3cc795712dbce726b01bfa07b5bf0a162575803d1d5,15/09/2022,0,A,47586248.92,0.0022,104689.74762400001,f3f23611344ab8a21ffbbd13bb648eaa077cb5616f7aa3100a3f1e1f8d6a9e21,Inversión
31/01/2023,9c80986e1934477c5c12cf78b246bd329e3188df3c8c6276f694e470114acf60,15/09/2022,0,A,3915349.0,0.0022,8613.7678,a85d8c2228f0c546e3fd03f76a4958b90c1e20550db5b43aedb7744790d35c28,Administración
31/01/2023,18eeb830fa905db3c19bf0930128dbf2a3513f339ad37870b9481af5e6a480eb,15/09/2022,0,A,2662800.0,0.0022,5858.160000000001,bfe239d85755b43c7af959c63dc87f64cccdb39e714243bea912b3e3cc28933a,Inmobiliario
31/01/2023,5c793ba3b8cae7f1d08caf64f82120e3c47f21b05f9125f77e7c2283d50e20f9,15/09/2022,0,A,690200.0,0.0022,1518.44,bafb291722e8ff2ed371873cca62ad837dd902661eb36facee753a1312094a42,Administración
31/01/2023,c5310203b6d49bfc76028ba1b570128f33f97edde4d3e8381b4ff5b100828902,15/09/2022,0,A,2760800.0,0.0022,6073.76,f5e6ad123eab905ce8e6198bf41583946e5cbe877a0fe2f116ded888910a917d,Administración
31/01/2023,1bcfa843e16377438d58609de174d581835fb3f755c8f3e69511c675c45faf92,15/09/2022,0,A,966280.0,0.0022,2125.8160000000003,ed174d0427e5ca1b8b85ed56f804b5e0e8cbcb773068a1dcf015e3cc8b3a84f3,Inmobiliario
31/01/2023,2b4fe2c14762bd5d6ad6ddd1beffa31a882284541a197c102dc5b9ccd13458c0,15/09/2022,0,A,114987.32,0.0022,252.97210400000003,4c458409cc73fbd7e66a7821d6b9dab08442779474ee3577ed82c3908cdb8feb,Inmobiliario
31/01/2023,5b7ca45dcba2b5ba609a7d455f9459483b1461f61494a00e6b19ebcd00ec545a,15/09/2022,0,A,114987.32,0.0022,252.97210400000003,4c458409cc73fbd7e66a7821d6b9dab08442779474ee3577ed82c3908cdb8feb,Inmobiliario
31/01/2023,1ebdf7ecadd1a30733e2ab9816cd27a0c27d517a69662f2530d4edcef530c2f1,15/09/2022,0,A,96784970.52,0.0022,212926.93514400002,fe2fdeec416ffb48c0c51f339f5c09d4ee02cfdf36c517a9fe0b3302b78e4308,Administración
31/01/2023,dac38fac8bc285f8c572da0238b22c6b43a34bcac9a79e6d4243cb57a9da9304,15/09/2022,0,A,2760800.0,0.0022,6073.76,06fb1522dbea995b7625f1949d96434a0b7193a89c45335bc7c732a3ac42b180,Administración
31/01/2023,dac38fac8bc285f8c572da0238b22c6b43a34bcac9a79e6d4243cb57a9da9304,15/09/2022,0,A,2760800.0,0.0022,6073.76,ea74139f7c1dcda904ce7bfb2aa5973893cce1eceedbad8f4defbf134b2c4682,Administración
31/01/2023,b4b7880028529a80f58cdc94840f52363742e430e5c44e0c203afb7784d65869,15/09/2022,0,A,708077.21,0.0022,1557.769862,3a837f58d95a31891b7b62b01a0f112d05838bf34652ce59fca4353c36d5224b,Fondos de inversión colectiva
31/01/2023,8f854bee1b41850058394627fc0b07a78a6c61378d7829e940fec35a2342f9b4,15/09/2022,0,A,6514942.19,0.0022,14332.872818000002,c64dba8b4a59454bc9d40ca3bcef014303f96da3b6388d6eeedfc520563b0149,Administración
31/01/2023,121d3805ccd0c95f8e69db713bfd62d4e48fd15818fd8e0cd9ffe67c53bf6456,15/09/2022,0,A,2070600.0,0.0022,4555.320000000001,7f8d1dee506bc34e3e2f5de63902f4083a71973c34def570c0f8d320d3b8cd5b,Garantía
31/01/2023,c5cd27ae8413be0c194958c8ad37774a81b07873ab26429755772bd38a92bc4a,15/09/2022,0,A,2231250.0,0.0022,4908.75,f4b94821159e4974022084b6d3735e1ff440cab7d97ce554ae0ba4793bc10070,Inmobiliario
31/01/2023,dac38fac8bc285f8c572da0238b22c6b43a34bcac9a79e6d4243cb57a9da9304,15/09/2022,0,A,2760800.0,0.0022,6073.76,9ef743f7b1ac72ee4af41890277738f0b258b08e4d1968eee9faec4adca4e998,Administración
31/01/2023,1247d35c4ee827574de5b88480256791f40c3f0ca27c49661644925bf2c4adae,15/09/2022,0,A,1380400.0,0.0022,3036.88,727dc40c08fcc101de3c532adf0ab49d7c75c311aaa9fb6e47b4d5e6fb53435c,Administración
31/01/2023,7e111afc6301414fff9abe4d6b915b7ff5b0f38c7745519ac2fa6f33ab7a9e1d,15/09/2022,0,A,285600.0,0.0022,628.32,2fe8a600b6a2b0a761a5e4744234348e6dc185b5c62e6ca12046efa4f16a71c1,Inversión
31/01/2023,8c880acae7cdf117551ccc8035123b29c6e02e38650dccd779be4f4b5dbc91dd,15/09/2022,0,A,2760800.0,0.0022,6073.76,b54e1437642b37c15f0a13d573c6b7d5757d43c8a39ff2db294447de4c385ed3,Inversión
31/01/2023,a6f8bc5c429a36aba24d818a811da81ef5f66107c131f416493abc50fdd5e6b2,15/09/2022,0,A,8927910.74,0.0022,19641.403628,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Otros
31/01/2023,97586f1b58f7edbb78b6faefa205a630998313cceafbbe63f01cbe1c0460c6d7,15/09/2022,0,A,2070600.0,0.0022,4555.320000000001,288ce86c4fc463adf91ebbff6de4436fe75dbe9b577397fed93b16c7124f52f2,Inmobiliario
31/01/2023,22fa32754d6963e9fe0f3cf41150328181556d9b0eda4df1b5f02e9cb117637f,15/09/2022,0,A,1725500.0,0.0022,3796.1000000000004,07cf833035b6ac099d146e077ca473c31ffaf7ca78bd36f8c3ad9afb8ebdac42,Inmobiliario
31/01/2023,310819891a79793a59bca2102c5d9e0ae7630da25dbcaa0bec3f415a43d1a2a5,15/09/2022,0,A,2070600.0,0.0022,4555.320000000001,a72473497ea3df32f02f9ec23a8da80b0cad0f4f42cce2a349592bbc6e5b5de3,Inversión
