Nro Factura,valor_capital,fecha_abono,fecha_factura,demora_pago,habito_pago
100810,3137025,31/01/2020,20/10/2016,1198,0.0
100813,1792537,30/12/2019,20/10/2016,1166,0.0
100854,799768,28/12/2018,20/10/2016,799,0.0
100909,1599536,28/12/2018,21/10/2016,798,0.0
100999,3998839,11/04/2019,25/10/2016,898,0.0
101000,4798607,31/08/2018,25/10/2016,675,0.0
101044,1599536,11/04/2019,31/10/2016,892,0.0
101045,1599536,31/08/2018,31/10/2016,669,0.0
101123,1599536,28/12/2018,10/11/2016,778,0.0
101156,1199652,28/12/2018,15/11/2016,773,0.0
101217,747446,28/12/2018,17/11/2016,771,0.0
101282,1599536,28/12/2018,17/11/2016,771,0.0
101326,799768,28/12/2018,17/11/2016,771,0.0
101377,799768,10/10/2018,18/11/2016,691,0.0
101415,1599536,28/12/2018,18/11/2016,770,0.0
101547,1599536,28/12/2018,18/11/2016,770,0.0
101578,3998839,30/12/2019,18/11/2016,1137,0.0
101579,4798607,31/08/2018,18/11/2016,651,0.0
101580,1599536,30/12/2019,18/11/2016,1137,0.0
101581,1599536,31/08/2018,18/11/2016,651,0.0
101666,598375,30/04/2018,23/11/2016,523,0.0
101730,1019209569,21/09/2018,30/11/2016,660,0.0
101732,14173576,25/04/2019,30/11/2016,876,0.0
101858,1199652,28/12/2018,12/12/2016,746,0.0
101890,505768,28/12/2018,12/12/2016,746,0.0
101920,658029104,30/10/2018,13/12/2016,686,0.0
101971,2399303,10/10/2018,14/12/2016,665,0.0
101972,799768,10/10/2018,14/12/2016,665,0.0
101973,799768,10/10/2018,14/12/2016,665,0.0
102001,1599536,31/10/2018,14/12/2016,686,0.0
102041,799768,28/12/2018,14/12/2016,744,0.0
102088,1599536,28/12/2018,15/12/2016,743,0.0
102186,1599536,28/12/2018,15/12/2016,743,0.0
102269,1599536,28/12/2018,15/12/2016,743,0.0
102299,2559257,28/12/2018,15/12/2016,743,0.0
102361,1599536,31/08/2018,16/12/2016,623,0.0
102363,4798607,31/08/2018,16/12/2016,623,0.0
