cod_negocio,id_linea,nombre_linea
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,99,Otros
d31b04b46bdb26afe654ff6cbed3dab17aece4cce466bd3d40b51061793cc8b4,3,Administración
17402467b764a01585e1d5a55ea74769f652cd0537d69a3aec3b6c609ccb5e01,3,Administración
e41bb15d9efcd5aac9e9b586b6014ca03b39a953d7684e9c4db92e0b2df6a1ae,3,Administración
c1d3e8240ccdeee4a007ed90b3598558488f21b01bc69e9f9a5855fb98ced98e,2,Inmobiliario
b304ed11d200bd400ece6649033895f07dcbff121f9cb76120e9e1b216e532fa,2,Inmobiliario
eece84b376fa78bede1c504c98c1066d3f0e294091b2e363f4860c28b8d73705,2,Inmobiliario
4c52425453e676ef087a66fd9f1f83cbcd8a985f8b060a2c4dc1e82e11b79044,2,Inmobiliario
bafd5b18007e91db75c8ed5a72923f910c1852c014ce90c2d87578730cd4552e,2,Inmobiliario
2195a74c7ce49b7254c68ffc3de3208058e6bded68de5ddf52188a08b88c6658,2,Inmobiliario
daef16ff9c81c558f52740f460dd48a99a0bed5322dbfb1ab649ceb21a23f516,2,Inmobiliario
3e7af5bb4fbaeb533da183c874819026d35332b3b9a40c8aaaa28168ebcc8ca3,2,Inmobiliario
8056d08eff78051b77d08d267a662d603e79586e04974e3e4a04e904d0cf13e0,2,Inmobiliario
b5ed069c3ee268f14e8b350194a626c041423ca42c68fdbb0ab2fa57dcdcc802,2,Inmobiliario
b917c26b56895607367808652a64238b0e5adf40a3b5bb5374b8be2f2105b3db,2,Inmobiliario
6d1c04303f57a11ff62f31ef5f4061966e3ad5b348d605a9a8da4af132ad2ce8,2,Inmobiliario
01643f2f24f17ebfdd209904af3da8944af35401a2cf367dc81493a5a233e1cb,2,Inmobiliario
e697b5554e6d1722ae672f130948448410e0f4db8d8187dd30bd4d6a0fec3fa6,3,Administración
afb954b263e52ad4a222cf151b12f704a15f026c73d0f80233fc92126e67ff40,3,Administración
a70381a72b047cadf37add562741336f963c934cc033b45b054ba66815ea08ae,3,Administración
183286759869be895c5b2a92ffd70c9de6b120ab92d1b27190656c80bc96fe1a,3,Administración
b8fdc7451e3aa0344bf401dd53807b93d80014f43423de496bb2e66b15097d96,3,Administración
b551b5f230a4142b5ea7601a97ab96903fa0779b1d98346785717bfc32bd8dfd,3,Administración
79231e4e922142da9a57c2369675c003bd63064569aa993389803837f27a70c1,3,Administración
fceeb0c7b63570598a7fdeb86f709159dfbb7ed849c978caf544c4820cce9f72,3,Administración
94847a4b29aaf9dcb813d454f5e518f7c07fc7aa81ab3ac49a02fb73eb55e052,3,Administración
0f495a601464ce422b8c8353e6ba02618b3a2fc4ec35be3db58f77cc34efcb2f,3,Administración
56ebb27d03cb79237e8a05194ff37bcfd06d4524c0d12d44b68275e89640e5ca,3,Administración
1aa9ee1bb324f14c45f0576a1a6de41bfc1026ce2d42850267dafb9157fe3b6b,3,Administración
02ef16a6c39469f0027359154e261b61646d49111d30cce689577b9f5fc7e2d8,3,Administración
8be02cb61445d37416690e9f3bce3db51fbe5cdeff1393fb81790d45ed96a82b,3,Administración
d05a0c1569a498316ec12400d131ac8cabc4cd94b44fb46cb7cfb1c573dda03d,3,Administración
cfd1a495e6cd3f6c0dba15ae5dcdb2af2317fcdafa42ae99f9d764508eb193bd,3,Administración
33a4c042f6a1d1f2ba14ee68283f4f46ee2289d6dd0583665b633d62b403543d,3,Administración
eec156d8fe6096a87e28ddc3fd054ca65786e499b5126e1785f3f7058e72f41e,3,Administración
3de66213a60016e071a78099d443db540dd72e45f1684e748a7ca5a751ff4c33,3,Administración
442681fdbda14d63e7cbcbb27024c6af385087e820d02c8039d0c4cd64169696,3,Administración
918f3a7e184ca8cce7005d24be4009bc2d21bd61ae4d75e9b6f989d978fd390d,3,Administración
c58d18845a148ea0bb000f89b1e47a40e0b094b4d60e6022729639afe1e938a7,3,Administración
3efe23d4782f792ff1b569a8a4c133c02c0d7c70d928da6cbe4d9c40df43b0a8,3,Administración
8cd22363819590885119185940eaa399130463ce0c17368715a0bc210cd8ecda,3,Administración
8140869cb018654722a96c4f38c4c99b81eb16fd6dceb0919c43aad65044d546,3,Administración
755b7d099cb497a3ca24e181138d4e486af49c264a5275715c84d4be51262e53,3,Administración
6e9088c960fdb872776f98c07d8599740db63cda5872163e335508001822692b,3,Administración
9be5fd860e1e822178079fd99730b7b431273c24d66a848d6130a9029eb3227d,3,Administración
7f049c089dd9cba4c14cd6c77c6920b564e84e55a6200ed667c291953140c625,3,Administración
4384788b124fe19cf8e952d0be89f88695bb1ffb4d2e799b575694c59ea6dc5f,3,Administración
fe8361134e7041ba30097e91e23aa5a386c3235dc8b015b1221de7abbcd2ff56,3,Administración
d4d4ef5107ff51684301487fb3e10721f4cd04107f1bdaa5bfd6edbc3e5068ce,2,Inmobiliario
6777d66cdceb3abe105f0756d4bc554f85f7a8fa03bd919167f12f604c781ec2,3,Administración
e195fc844803269b686f2ca38db4b99bc5f1bd9af7dbd8e21dd06d8fb10f160b,3,Administración
b6c9c6b5b835b110c14d8a8a7d51ce5eb49c655902c25b348ea903fbbb257d5d,3,Administración
3ead4c01236730725a6551ddb7ecc9d88d92443c1af78c585691babc92e6e4e5,3,Administración
c1bb88ac748e5245e4d12596996e6945b66128860b37161f5bd1d6d57dfab256,3,Administración
c64dba8b4a59454bc9d40ca3bcef014303f96da3b6388d6eeedfc520563b0149,3,Administración
a85d8c2228f0c546e3fd03f76a4958b90c1e20550db5b43aedb7744790d35c28,3,Administración
